"BPBM","genus","species","svl","finger","toe","ft","anterior","posterior","ap","reference","fpadtpad","palate","toe_length","toe_webbing","IO_space","tympanum","teeth","two_palate_folds","pupil_horizontal","pectoral_type","call_type","gensp"
31472,"Oreophryne","parkeri",23.4,1.724686303,1.798339135,0.9590439699,2.00125,1.621014151,1.234566644,"Kraus_2013",0,0,FALSE,2,2,2,FALSE,TRUE,TRUE,"ligamentous","peeping","Oreophryne_parkeri"
33673,"Oreophryne","notata",17.2,1.347355528,1.196400034,1.126174765,1.775757138,1.709129686,1.038983263,"",0,0,FALSE,0,2,1,FALSE,TRUE,TRUE,"cartilaginous","peeping","Oreophryne_notata"
33674,"Oreophryne","notata",19.5,1.196400034,1.093434513,1.094167068,1.613057392,1.304974518,1.236083441,"",0,1,FALSE,0,3,2,FALSE,TRUE,TRUE,"cartilaginous","peeping","Oreophryne_notata"
33697,"Oreophryne","notata",17.1,0.9758758289,0.8133893456,1.199764706,1.373010127,1.136583373,1.20801532,"Zweifel_2003",0,0,FALSE,0,2,1,FALSE,TRUE,TRUE,"cartilaginous","peeping","Oreophryne_notata"
33706,"Oreophryne","notata",18.6,1.275346647,1.109797992,1.14917008,1.671263632,1.085003796,1.540329757,"",0,2,FALSE,0,2,2,FALSE,TRUE,TRUE,"cartilaginous","peeping","Oreophryne_notata"
33764,"Oreophryne","anamiatoi",26.5,1.996577586,1.748399086,1.141946139,1.710900913,1.772297724,0.9653575075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_anamiatoi"
33769,"Oreophryne","anamiatoi",29.4,2.458399665,1.909007122,1.287789677,2.431162435,2.007091779,1.211286131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_anamiatoi"
33772,"Oreophryne","notata",18.4,1.360896068,1.137309691,1.196592343,1.921629437,1.411743012,1.361175102,"",1,2,FALSE,0,1,1,FALSE,TRUE,TRUE,"cartilaginous","peeping","Oreophryne_notata"
33773,"Oreophryne","anamiatoi",25.46,NA,NA,NA,NA,NA,NA,"",2,0,FALSE,0,1,1,FALSE,TRUE,TRUE,"cartilaginous","other","Oreophryne_anamiatoi"
33774,"Oreophryne","anamiatoi",25.1,NA,NA,NA,NA,NA,NA,"",1,1,FALSE,0,2,1,FALSE,TRUE,TRUE,"cartilaginous","other","Oreophryne_anamiatoi"
